algo,constraint,graph,n,m,K,B_factor,B_abs,total_cost,B,eps,ic_seed,ic_mc,ic_lambda,f_value,solution_cost,solution_size,queries,time_sec,mem_mb,C,cumulative_consistency,initial_changes,consistency_queries,consistency_time_sec,atkc_delta,atkc_eps,atkc_chase_cap,atkc_max_scan,atkc_q,atkc_J,atkc_N,atkc_lane_restarts,atkc_successful_exchanges,rkcl_delta_used,rkcl_mu,rkcl_lambda,rkcl_gamma,rkcl_q,rkcl_N,rkcl_chase_cap,rkcl_restarts,rkcl_successful_exchanges
RKCL-IM,"B=50, delta=0.33, chase_cap=0",fb_cost4860.bin,4039,176468,1,-1,50,218102.97768513786,50,0.10000000000000001,42,50,1.0,215.96000000000001,48.160534581477464,1,34438,25.70139955,4.25,2,7,0,34438,25.70139955,0.33000000000000002,0.5,0,0,0,0,0,0,0,0.33000000000000002,3.0303030303030303,4.0303030303030303,1.3300000000000001,3,4,0,4,0
ATKC,"B=50, delta=0.33, eps=0.5",fb_cost4860.bin,4039,176468,1,-1,50,218102.97768513786,50,0.10000000000000001,42,10,1.0,232.69999999999999,48.160534581477464,1,292189,7.899005219,4.51172,2,7,0,292189,7.899005219,0.33000000000000002,0.5,10,30,3,5,10,9,9,0,0,0,0,0,0,10,0,0
RKCL-IM,"B=60, delta=0.33, chase_cap=0",fb_cost4860.bin,4039,176468,1,-1,60,218102.97768513786,60,0.10000000000000001,42,50,1.0,215.96000000000001,48.160534581477464,1,204665,151.9758699,4.25,2,2,1,204665,151.9758699,0.33000000000000002,0.5,0,0,0,0,0,0,0,0.33000000000000002,3.0303030303030303,4.0303030303030303,1.3300000000000001,3,4,0,2,0
ATKC,"B=60, delta=0.33, eps=0.5",fb_cost4860.bin,4039,176468,1,-1,60,218102.97768513786,60,0.10000000000000001,42,10,1.0,232.69999999999999,48.160534581477464,1,1452686,36.97554355,4.50391,2,2,1,1452686,36.97554355,0.33000000000000002,0.5,10,30,3,5,10,1,3,0,0,0,0,0,0,10,0,0
RKCL-IM,"B=70, delta=0.33, chase_cap=0",fb_cost4860.bin,4039,176468,1,-1,70,218102.97768513786,70,0.10000000000000001,42,50,1.0,215.96000000000001,48.160534581477464,1,204665,150.9332335,4.25,2,2,1,204665,150.9332335,0.33000000000000002,0.5,0,0,0,0,0,0,0,0.33000000000000002,3.0303030303030303,4.0303030303030303,1.3300000000000001,3,4,0,2,0
ATKC,"B=70, delta=0.33, eps=0.5",fb_cost4860.bin,4039,176468,1,-1,70,218102.97768513786,70,0.10000000000000001,42,10,1.0,232.69999999999999,48.160534581477464,1,1452628,37.23786997,4.51172,2,2,1,1452628,37.23786997,0.33000000000000002,0.5,10,30,3,5,10,2,4,0,0,0,0,0,0,10,0,0
RKCL-IM,"B=80, delta=0.33, chase_cap=0",fb_cost4860.bin,4039,176468,1,-1,80,218102.97768513786,80,0.10000000000000001,42,50,1.0,215.96000000000001,48.160534581477464,1,204665,159.1737782,4.375,2,2,1,204665,159.1737782,0.33000000000000002,0.5,0,0,0,0,0,0,0,0.33000000000000002,3.0303030303030303,4.0303030303030303,1.3300000000000001,3,4,0,2,0
ATKC,"B=80, delta=0.33, eps=0.5",fb_cost4860.bin,4039,176468,1,-1,80,218102.97768513786,80,0.10000000000000001,42,10,1.0,232.69999999999999,48.160534581477464,1,1452628,34.82000461,4.51172,2,2,1,1452628,34.82000461,0.33000000000000002,0.5,10,30,3,5,10,2,4,0,0,0,0,0,0,10,0,0
RKCL-IM,"B=90, delta=0.33, chase_cap=0",fb_cost4860.bin,4039,176468,1,-1,90,218102.97768513786,90,0.10000000000000001,42,50,1.0,215.96000000000001,48.160534581477464,1,204665,153.2537276,4.25,2,2,1,204665,153.2537276,0.33000000000000002,0.5,0,0,0,0,0,0,0,0.33000000000000002,3.0303030303030303,4.0303030303030303,1.3300000000000001,3,4,0,2,0
ATKC,"B=90, delta=0.33, eps=0.5",fb_cost4860.bin,4039,176468,1,-1,90,218102.97768513786,90,0.10000000000000001,42,10,1.0,232.69999999999999,48.160534581477464,1,1452628,32.21287117,4.51172,2,2,1,1452628,32.21287117,0.33000000000000002,0.5,10,30,3,5,10,1,4,0,0,0,0,0,0,10,0,0
RKCL-IM,"B=100, delta=0.33, chase_cap=0",fb_cost4860.bin,4039,176468,1,-1,100,218102.97768513786,100,0.10000000000000001,42,50,1.0,215.96000000000001,48.160534581477464,1,204665,147.3694059,4.25,2,2,1,204665,147.3694059,0.33000000000000002,0.5,0,0,0,0,0,0,0,0.33000000000000002,3.0303030303030303,4.0303030303030303,1.3300000000000001,3,4,0,2,0
ATKC,"B=100, delta=0.33, eps=0.5",fb_cost4860.bin,4039,176468,1,-1,100,218102.97768513786,100,0.10000000000000001,42,10,1.0,232.69999999999999,48.160534581477464,1,1452570,32.38416381,4.50391,2,2,1,1452570,32.38416381,0.33000000000000002,0.5,10,30,3,5,10,2,5,0,0,0,0,0,0,10,0,0
